Method,Balanced Acc,Std,N_Subjects,Accuracy,F1,Precision,Recall,Auc
Logistic Regression,0.5761454302017692,0.08104067387084223,38,0.5666648760542076,0.4713968703874518,0.3944790527209217,0.6506577601481958,0.6107646885392995
Random Forest,0.5552481900409499,0.043296463683163214,38,0.6636168227532164,0.31114700526004785,0.46361875890018334,0.2583953983780142,0.635342845310219
Transformer,0.5505983616109585,0.04082576362502997,38,0.4690071423977712,0.4736050686675378,0.3620548909804145,0.7988263677505523,0.6032844392153818
Light Agent (Llama-3.2-3B),0.5478947368421053,0.09153814430849246,38,0.5478947368421053,0.6243598696285887,0.5462664775499433,0.7726315789473686,
XGBoost,0.5403360285016047,0.03248267389905672,38,0.6662924991538988,0.24500893995938453,0.4713494506885164,0.1828705806085119,0.6413944215304411
Light Agent only,0.5386842105263157,0.0878626401136357,38,0.5386842105263157,0.535231702214246,0.5430460574208786,0.5773684210526315,
Light Agent (OLMo-1B),0.5352631578947369,0.08864556945698286,38,0.5352631578947369,0.5949576051447548,0.5328265537801083,0.7578947368421054,
Light Agent Local (Qwen-7B),0.534736842105263,0.09503162609008511,38,0.5347368421052631,0.5661993739524073,0.5149266981077257,0.6726315789473685,
Single-Agent 1-shot (Haiku),0.5292105263157895,0.06937487585369437,38,0.5292105263157895,0.4780544440043286,0.5181905327020647,0.4863157894736842,
Statistical Fusion Local (Qwen-7B),0.5252631578947369,0.06021299321508891,38,0.5252631578947368,0.5914554356056716,0.5269670440027516,0.74,
LSTM,0.5251723838914183,0.03869344907175105,38,0.3997571929857691,0.47853598044228773,0.34657194451642215,0.9127972441595328,0.5768693438309297
TCN,0.5163357083165737,0.02739931721052413,38,0.3769483411205214,0.48031099656418386,0.34241698409230603,0.9499974493215351,0.5951075487199861
Statistical Fusion (Llama-3.2-3B),0.5142105263157895,0.031160576179262375,38,0.5142105263157895,0.6666917504735891,0.5080443946031913,0.9715789473684211,
Hybrid Fusion Local (Qwen-7B),0.5142105263157893,0.05400858685218086,38,0.5142105263157893,0.6214159670760541,0.5112202733629011,0.8231578947368422,
Hybrid Fusion (ConSensus),0.5121052631578947,0.07908797341643083,38,0.5121052631578947,0.4764310247852572,0.5037100863692657,0.4863157894736842,
Statistical Fusion (OLMo-1B),0.5121052631578946,0.03706516502104079,38,0.5121052631578946,0.6031498436782652,0.5176713343974592,0.8357894736842105,
Hybrid Fusion (OLMo-1B),0.5121052631578946,0.03706516502104079,38,0.5121052631578946,0.6031498436782652,0.5176713343974592,0.8357894736842105,
Semantic Fusion,0.5113157894736841,0.08077901294979824,38,0.5113157894736841,0.4715830463585511,0.5049474084501329,0.4773684210526316,
Statistical Fusion (majority vote),0.5089473684210527,0.07590141093600841,38,0.5089473684210527,0.5108467059900121,0.5023921641440389,0.5563157894736843,
Semantic Fusion (OLMo-1B),0.5078947368421052,0.03877571647006301,38,0.5078947368421052,0.633832417919185,0.5086172556443309,0.8842105263157896,
Hybrid Fusion (Llama-3.2-3B),0.5057894736842105,0.017341027580663818,38,0.5057894736842105,0.6673093053611736,0.5029841903036378,0.991578947368421,
Semantic Fusion (Llama-3.2-3B),0.5010526315789473,0.007982912048840109,38,0.5010526315789473,0.6669102411712363,0.5005482456140351,0.9989473684210527,
PPG Agent (OLMo-1B),0.5010526315789473,0.004525885718428288,38,0.5010526315789473,0.6671408250355619,0.5005370569280343,1.0,
PPG Agent (Llama-3.2-3B),0.5005263157894737,0.0633287163598748,38,0.5005263157894737,0.6271099606700701,0.4995039493304744,0.86,
Single-Agent 1-shot (Qwen-7B),0.5004433378148313,0.0024012354247445983,38,0.6649967569285934,0.0032262715105533316,0.059941520467836254,0.0017294879883306238,0.508231165641668
ACC Agent (OLMo-1B),0.5,0.0,38,0.5,0.4385964912280701,0.32894736842105265,0.6578947368421053,
Single-Agent 0-shot (Haiku),0.49921052631578944,0.037008514648284155,38,0.49921052631578944,0.17159277258077552,0.4457656317665279,0.1163157894736842,
PPG Agent only,0.4923684210526315,0.0563019950933677,38,0.4923684210526315,0.5809048942596474,0.49384127205280876,0.7342105263157895,
ACC Agent (Llama-3.2-3B),0.49105263157894735,0.03532011705194791,38,0.49105263157894735,0.6462085245721441,0.49389976039434474,0.94,
ACC Agent only,0.48763157894736847,0.07578184231375332,38,0.48763157894736847,0.3175542667549249,0.4399378933063356,0.29315789473684206,
