accuracy,balanced_accuracy,f1,precision,recall,auc,subject,n_test,n_pos
0.51,0.51,0.5882352941176471,0.5072463768115942,0.7,,PA01,100,50
0.59,0.59,0.594059405940594,0.5882352941176471,0.6,,PA02,100,50
0.46,0.45999999999999996,0.2894736842105263,0.4230769230769231,0.22,,PA03,100,50
0.52,0.52,0.1111111111111111,0.75,0.06,,PA04,100,50
0.31,0.31,0.3783783783783784,0.3442622950819672,0.42,,PA05,100,50
0.5,0.5,0.16666666666666666,0.5,0.1,,PA06,100,50
0.5,0.5,0.0,0.0,0.0,,PA07,100,50
0.73,0.73,0.7476635514018691,0.7017543859649122,0.8,,PA08,100,50
0.53,0.53,0.3380281690140845,0.5714285714285714,0.24,,PA10,100,50
0.48,0.48,0.10344827586206896,0.375,0.06,,PA11,100,50
0.43,0.43,0.06557377049180328,0.18181818181818182,0.04,,PA12,100,50
0.51,0.51,0.3287671232876712,0.5217391304347826,0.24,,PA13,100,50
0.49,0.49,0.19047619047619047,0.46153846153846156,0.12,,PA14,100,50
0.62,0.62,0.4864864864864865,0.75,0.36,,PA15,100,50
0.43,0.43,0.2191780821917808,0.34782608695652173,0.16,,PA16,100,50
0.44,0.44,0.5172413793103449,0.45454545454545453,0.6,,PA17,100,50
0.38,0.38,0.1388888888888889,0.22727272727272727,0.1,,PA18,100,50
0.49,0.49,0.41379310344827586,0.4864864864864865,0.36,,PA19,100,50
0.34,0.33999999999999997,0.08333333333333333,0.13636363636363635,0.06,,PA20,100,50
0.49,0.49,0.49504950495049505,0.49019607843137253,0.5,,PA21,100,50
0.43,0.43000000000000005,0.3448275862068966,0.40540540540540543,0.3,,PA22,100,50
0.49,0.49,0.03773584905660377,0.3333333333333333,0.02,,PA24,100,50
0.49,0.49,0.43956043956043955,0.4878048780487805,0.4,,PB01,100,50
0.46,0.46,0.22857142857142856,0.4,0.16,,PB02,100,50
0.47,0.47,0.3116883116883117,0.4444444444444444,0.24,,PB03,100,50
0.58,0.5800000000000001,0.4878048780487805,0.625,0.4,,PB04,100,50
0.48,0.48,0.36585365853658536,0.46875,0.3,,PB05,100,50
0.48,0.48,0.037037037037037035,0.25,0.02,,PB06,100,50
0.45,0.45,0.06779661016949153,0.2222222222222222,0.04,,PB07,100,50
0.57,0.5700000000000001,0.39436619718309857,0.6666666666666666,0.28,,PB08,100,50
0.4,0.4,0.3023255813953488,0.3611111111111111,0.26,,PB10,100,50
0.57,0.5700000000000001,0.6814814814814815,0.5411764705882353,0.92,,PB12,100,50
0.49,0.49,0.5048543689320388,0.49056603773584906,0.52,,PB13,100,50
0.51,0.51,0.2898550724637681,0.5263157894736842,0.2,,PB14,100,50
0.49,0.49,0.2608695652173913,0.47368421052631576,0.18,,PB15,100,50
0.41,0.41,0.14492753623188406,0.2631578947368421,0.1,,PB16,100,50
0.55,0.55,0.6616541353383458,0.5301204819277109,0.88,,PB17,100,50
0.46,0.45999999999999996,0.25,0.4090909090909091,0.18,,PB18,100,50
