subject,balanced_accuracy,accuracy,f1,auc,n_test
PA01,0.44,0.44,0.5333333333333333,0.4128,50
PA02,0.54,0.54,0.6567164179104478,0.616,50
PA03,0.64,0.64,0.6896551724137931,0.6432,50
PA04,0.52,0.52,0.6,0.5744,50
PA05,0.42,0.42,0.5538461538461539,0.3984,50
PA06,0.62,0.62,0.6779661016949152,0.6736,50
PA07,0.56,0.56,0.6071428571428571,0.5760000000000001,50
PA08,0.6,0.6,0.6774193548387096,0.7727999999999999,50
PA10,0.68,0.68,0.7419354838709677,0.6368,50
PA11,0.52,0.52,0.5714285714285714,0.5391999999999999,50
PA12,0.56,0.56,0.6666666666666666,0.5824,50
PA13,0.52,0.52,0.6470588235294118,0.6816,50
PA14,0.56,0.56,0.65625,0.592,50
PA15,0.5,0.5,0.576271186440678,0.5312,50
PA16,0.52,0.52,0.625,0.6272000000000001,50
PA17,0.6,0.6,0.6428571428571429,0.6207999999999999,50
PA18,0.62,0.62,0.6779661016949152,0.7008,50
PA19,0.56,0.56,0.6451612903225806,0.6352,50
PA20,0.54,0.54,0.5660377358490566,0.5552000000000001,50
PA21,0.62,0.62,0.6984126984126984,0.7584,50
PA22,0.5800000000000001,0.58,0.6557377049180327,0.6287999999999999,50
PA24,0.5800000000000001,0.58,0.6440677966101694,0.6144000000000001,50
PB01,0.72,0.72,0.7407407407407407,0.7472000000000001,50
PB02,0.38,0.38,0.5079365079365079,0.344,50
PB03,0.46,0.46,0.6197183098591549,0.6304000000000001,50
PB04,0.56,0.56,0.6666666666666666,0.68,50
PB05,0.5800000000000001,0.58,0.676923076923077,0.5952000000000001,50
PB06,0.6,0.6,0.6875,0.7104,50
PB07,0.52,0.52,0.625,0.47040000000000004,50
PB08,0.38,0.38,0.4918032786885246,0.41600000000000004,50
PB10,0.54,0.54,0.6666666666666666,0.5568000000000001,50
PB12,0.5,0.5,0.6268656716417911,0.5616000000000001,50
PB13,0.6,0.6,0.6875,0.6544,50
PB14,0.54,0.54,0.6567164179104478,0.4608,50
PB15,0.6200000000000001,0.62,0.6415094339622641,0.6559999999999999,50
PB16,0.54,0.54,0.6101694915254238,0.5824,50
PB17,0.52,0.52,0.6666666666666666,0.7343999999999999,50
PB18,0.46,0.46,0.5846153846153846,0.5856,50
