subject,acc,bacc,f1,prec,rec,auc,n
PA01,0.38084291187739466,0.5180821436296776,0.26277372262773724,0.16089385474860335,0.7164179104477612,0.5354477611940298,1305
PA02,0.5060386473429952,0.5893510324483775,0.3456,0.22736842105263158,0.72,0.6389577187807277,828
PA03,0.5282363162467419,0.49380785271081273,0.3386114494518879,0.2883817427385892,0.41002949852507375,0.5286884054812038,1151
PA04,0.6412776412776413,0.5571549826447593,0.75,0.7098865478119936,0.79491833030853,0.5476044247237999,814
PA05,0.5657894736842105,0.5159765110863622,0.35294117647058826,0.3235294117647059,0.38823529411764707,0.5337990617933921,836
PA06,0.7596371882086168,0.7299736495388669,0.8153310104529616,0.785234899328859,0.8478260869565217,0.8090250329380764,441
PA07,0.6805825242718446,0.6652901543142795,0.7344632768361582,0.7142857142857143,0.7558139534883721,0.7400371037352129,1030
PA08,0.8401360544217688,0.8027682833544739,0.5959885386819485,0.49523809523809526,0.7482014388489209,0.8366528849598652,882
PA10,0.5912596401028277,0.5630968243393293,0.6735112936344969,0.656,0.6919831223628692,0.5975460803908506,389
PA11,0.39655172413793105,0.3871428571428572,0.5308310991957105,0.4439461883408072,0.66,0.3334285714285714,290
PA12,0.5429017160686428,0.5593149150644017,0.3831578947368421,0.2834890965732087,0.5909090909090909,0.5973759300248007,641
PA13,0.45925925925925926,0.591801781228591,0.31934731934731936,0.20029239766081872,0.7873563218390804,0.6261640151226814,1080
PA14,0.5267406659939455,0.5727120175551826,0.5562913907284768,0.4349112426035503,0.7716535433070866,0.6102233122499032,991
PA15,0.6617063492063492,0.6223147012440862,0.30265848670756645,0.20612813370473537,0.5692307692307692,0.7041177501314175,1008
PA16,0.5010245901639344,0.5174778802099758,0.44215349369988544,0.36074766355140186,0.5710059171597633,0.5172877520357626,976
PA17,0.6638566912539515,0.6738963888410383,0.6721479958890031,0.7587006960556845,0.6033210332103321,0.7319782043029276,949
PA18,0.591304347826087,0.5361247947454844,0.3380281690140845,0.27906976744186046,0.42857142857142855,0.5900383141762453,345
PA19,0.45850622406639,0.47435942590472835,0.47695390781563124,0.40476190476190477,0.5804878048780487,0.4925772651228316,482
PA20,0.47493036211699163,0.5222806746093145,0.5245901639344263,0.40625,0.7402135231316725,0.5495085384822105,718
PA21,0.6078860898138007,0.5875436589184633,0.6786355475763016,0.6725978647686833,0.6847826086956522,0.6381629130033322,913
PA22,0.5852156057494866,0.5650105683692194,0.4555256064690027,0.41935483870967744,0.49852507374631266,0.597570436438808,974
PA24,0.6312217194570136,0.6297203155414404,0.6561181434599156,0.6295546558704453,0.6850220264317181,0.6770668988833112,884
PB01,0.7191689008042895,0.6482619795758051,0.28862478777589134,0.1945080091533181,0.5592105263157895,0.7460379025923016,1492
PB02,0.532639545884579,0.5860472103004293,0.24924012158054712,0.15384615384615385,0.656,0.6229012875536482,1057
PB03,0.4757185332011893,0.5199524270278987,0.5609958506224066,0.4327784891165173,0.7971698113207547,0.4903684889533947,1009
PB04,0.5695611577964519,0.5738095238095238,0.4439083232810615,0.35797665369649806,0.5841269841269842,0.62989417989418,1071
PB05,0.7096385542168675,0.6455077794832611,0.7945439045183291,0.7740863787375415,0.8161120840630472,0.6804495263339397,830
PB06,0.45294117647058824,0.5321758460771914,0.4972972972972973,0.36363636363636365,0.7863247863247863,0.5720065241739383,1020
PB07,0.6248624862486248,0.6465172920254862,0.5774473358116481,0.48140495867768596,0.7213622291021672,0.6677955177041177,909
PB08,0.4572972972972973,0.5689803214239426,0.504930966469428,0.3550624133148405,0.8737201365187713,0.6164459757203957,925
PB10,0.4934086629001883,0.584941284826157,0.354916067146283,0.23417721518987342,0.7326732673267327,0.6424361040755238,531
PB12,0.5639810426540285,0.584945127575663,0.43034055727554177,0.3270588235294118,0.6289592760180995,0.6394834511159693,844
PB13,0.44511581067472306,0.446031746031746,0.2543978349120433,0.1776937618147448,0.44761904761904764,0.4302256279267774,993
PB14,0.5040650406504065,0.5093003493532244,0.3674074074074074,0.2837528604118993,0.5210084033613446,0.5222021392826793,861
PB15,0.4958183990442055,0.4397772372295481,0.156,0.09923664122137404,0.3644859813084112,0.43844578159006525,837
PB16,0.6744479495268139,0.6496306831215305,0.4202247191011236,0.32075471698113206,0.6091205211726385,0.708881956232509,1585
PB17,0.550561797752809,0.6100063236370898,0.36908517350157727,0.25,0.7048192771084337,0.6248252679225188,890
PB18,0.6691331923890064,0.672439802727009,0.4380610412926391,0.32360742705570295,0.6777777777777778,0.743400058021468,946
