subject,acc,bacc,f1,prec,rec,auc
PA01,0.7425287356321839,0.508037259355397,0.16831683168316833,0.16748768472906403,0.1691542288557214,0.5235597375441632
PA02,0.7560386473429952,0.5499115044247788,0.2518518518518518,0.2833333333333333,0.22666666666666666,0.6528613569321534
PA03,0.6750651607298002,0.508518970603194,0.15765765765765766,0.3333333333333333,0.10324483775811209,0.6111062673467313
PA04,0.44471744471744473,0.545120175553608,0.3891891891891892,0.7619047619047619,0.2613430127041742,0.6151483993844582
PA05,0.6758373205741627,0.501633424454119,0.09364548494983277,0.3181818181818182,0.054901960784313725,0.5127467854611725
PA06,0.5374149659863946,0.608498023715415,0.46875,0.8333333333333334,0.32608695652173914,0.7839701361440491
PA07,0.5699029126213592,0.6148391653988263,0.48667439165701043,0.8045977011494253,0.3488372093023256,0.76773294625392
PA08,0.8469387755102041,0.5231610135848253,0.09395973154362416,0.7,0.050359712230215826,0.8581872052828801
PA10,0.5167095115681234,0.5620836109260493,0.47191011235955055,0.7058823529411765,0.35443037974683544,0.6702753719742394
PA11,0.5448275862068965,0.5549999999999999,0.37142857142857144,0.65,0.26,0.6221428571428571
PA12,0.734789391575663,0.5279740793087816,0.19047619047619047,0.35714285714285715,0.12987012987012986,0.6439238379690124
PA13,0.7685185185185185,0.5602116160462816,0.2603550295857988,0.2682926829268293,0.25287356321839083,0.6596889193372408
PA14,0.6054490413723511,0.5455036358160148,0.3579638752052545,0.4780701754385965,0.28608923884514437,0.6076976033733489
PA15,0.8492063492063492,0.5398983704222884,0.17391304347826086,0.2962962962962963,0.12307692307692308,0.7458121605046434
PA16,0.6260245901639344,0.5094461241676096,0.19426048565121412,0.3826086956521739,0.1301775147928994,0.5196713101222386
PA17,0.5005268703898841,0.5559988032312756,0.27522935779816515,0.8035714285714286,0.16605166051660517,0.7274631222970707
PA18,0.7333333333333333,0.5088943623426382,0.11538461538461539,0.3,0.07142857142857142,0.6312260536398466
PA19,0.5809128630705395,0.5231663291362156,0.21705426356589147,0.5283018867924528,0.13658536585365855,0.5932552610724663
PA20,0.6629526462395543,0.594167609957898,0.39195979899497485,0.6666666666666666,0.2775800711743772,0.6482894533254069
PA21,0.4238773274917853,0.5192375245895058,0.1174496644295302,0.7954545454545454,0.06340579710144928,0.6811042193584649
PA22,0.6745379876796714,0.5468863958376884,0.21339950372208435,0.671875,0.12684365781710916,0.6051564350916313
PA24,0.5101809954751131,0.51968548304477,0.262350936967632,0.5789473684210527,0.1696035242290749,0.611002971007069
PB01,0.8753351206434317,0.5777199528672428,0.25,0.3229166666666667,0.20394736842105263,0.7654948939512962
PB02,0.8618732261116367,0.5857124463519313,0.27722772277227725,0.36363636363636365,0.224,0.6973991416309012
PB03,0.5777998017839445,0.540156829543622,0.37719298245614036,0.49615384615384617,0.30424528301886794,0.5761530398322852
PB04,0.6797385620915033,0.49907407407407406,0.09973753280839895,0.2878787878787879,0.06031746031746032,0.5819643906945494
PB05,0.35542168674698793,0.5199203456646538,0.1494435612082671,0.8103448275862069,0.08231173380035026,0.6631460081547648
PB06,0.6598039215686274,0.5950774852120143,0.4394184168012924,0.5074626865671642,0.38746438746438744,0.6257798559741758
PB07,0.6666666666666666,0.5448546582275806,0.20887728459530025,0.6666666666666666,0.1238390092879257,0.7346918289500101
PB08,0.5621621621621622,0.535879379617229,0.4017725258493353,0.3541666666666667,0.4641638225255973,0.5646034043288547
PB10,0.7890772128060264,0.5743265024176837,0.2911392405063291,0.40350877192982454,0.22772277227722773,0.6733248906285978
PB12,0.7061611374407583,0.5177472890625567,0.17880794701986755,0.3333333333333333,0.12217194570135746,0.5999578742473654
PB13,0.730110775427996,0.48735632183908045,0.0945945945945946,0.16279069767441862,0.06666666666666667,0.4976829045794563
PB14,0.6852497096399536,0.5020772353885374,0.13968253968253969,0.2857142857142857,0.09243697478991597,0.5559234929927027
PB15,0.8470728793309439,0.5015683011138138,0.058823529411764705,0.13793103448275862,0.037383177570093455,0.5511842273716553
PB16,0.7741324921135647,0.5679043497321241,0.284,0.36787564766839376,0.23127035830618892,0.7024106273544268
PB17,0.7595505617977528,0.5179225188044998,0.17054263565891473,0.2391304347826087,0.13253012048192772,0.5243792850961858
PB18,0.8086680761099366,0.5375979112271541,0.16589861751152074,0.4864864864864865,0.1,0.7668697418044675
